,1m,3m
04.01.2002,63.49,65.06
11.01.2002,63.23,60.15
18.01.2002,62.76,60.94
25.01.2002,62.21,59.74
01.02.2002,62.12,59.35
08.02.2002,62.87,60.12
15.02.2002,62.42,59.38
22.02.2002,61.39,58.71
01.03.2002,60.75,59.26
08.03.2002,60.19,55.87
15.03.2002,58.22,57.08
22.03.2002,56.63,55.68
29.03.2002,57.61,55.73
05.04.2002,55.7,53.77
12.04.2002,55.93,52.41
19.04.2002,54.61,51.37
26.04.2002,53.74,51.26
03.05.2002,51.11,49.89
10.05.2002,50.04,49.73
17.05.2002,49.77,48.25
24.05.2002,49.97,49.13
31.05.2002,50.24,50.14
07.06.2002,50.55,49.35
14.06.2002,50.28,49.77
21.06.2002,49.93,50.95
28.06.2002,50.89,50.07
05.07.2002,50.44,50.23
12.07.2002,50.81,51.56
19.07.2002,51.08,51.04
26.07.2002,50.77,51.42
02.08.2002,50,51.39
09.08.2002,49.74,51.57
16.08.2002,51.05,52.85
23.08.2002,50.62,48.96
30.08.2002,49.74,50.54
06.09.2002,50.13,50.44
13.09.2002,49.89,49.75
20.09.2002,49.7,50.33
27.09.2002,50.52,50.69
04.10.2002,50.55,53.66
11.10.2002,50.14,50.37
18.10.2002,50.23,49.84
25.10.2002,50.28,49.22
01.11.2002,49.37,49.6
08.11.2002,49.52,49.51
15.11.2002,47.75,46.89
22.11.2002,46.96,46.53
29.11.2002,47.36,46.82
06.12.2002,46.37,45.95
13.12.2002,47.08,46.72
20.12.2002,46.87,45.68
27.12.2002,46.89,46.81
03.01.2003,47.71,47.82
10.01.2003,47.24,46.75
17.01.2003,47.75,46.5
24.01.2003,47.28,47.7
31.01.2003,47.46,47.29
07.02.2003,48.16,48.45
14.02.2003,47.04,49.06
21.02.2003,48.2,48.45
28.02.2003,48.41,47.26
07.03.2003,49.26,47.26
14.03.2003,48.06,44.78
21.03.2003,47.8,45.05
28.03.2003,48.65,45.26
04.04.2003,48.57,45.6
11.04.2003,47.9,46.33
18.04.2003,48.1,46.5
25.04.2003,47.62,46.13
02.05.2003,44.82,43.3
09.05.2003,44.61,43.2
16.05.2003,44.56,42.74
23.05.2003,44.55,43
30.05.2003,43.85,42.55
06.06.2003,42.47,42.83
13.06.2003,41.44,40.26
20.06.2003,40.54,39.83
27.06.2003,39.77,40.23
04.07.2003,40.58,40.91
11.07.2003,40.74,40.62
18.07.2003,39.41,40.28
25.07.2003,38.72,37.93
01.08.2003,37.84,37.84
08.08.2003,36.53,36.66
15.08.2003,34.92,35.41
22.08.2003,35.18,34.81
29.08.2003,33.9,35.01
05.09.2003,33.85,34.2
12.09.2003,33.94,33.67
19.09.2003,31.95,33.37
26.09.2003,30.35,31.82
03.10.2003,30.9,31.83
10.10.2003,29.67,30.63
17.10.2003,28.55,28.93
24.10.2003,28.12,27.77
31.10.2003,28.42,27.53
07.11.2003,28,28.89
14.11.2003,27.62,28.48
21.11.2003,28.48,29.07
28.11.2003,28.97,27
05.12.2003,28.43,27.38
12.12.2003,28.71,29
19.12.2003,28.04,27.16
26.12.2003,28.08,26.86
02.01.2004,28.57,27.37
09.01.2004,27.53,25.68
16.01.2004,26.47,26.36
23.01.2004,25.53,25.2
30.01.2004,25.76,25.56
06.02.2004,24.86,25.97
13.02.2004,23.84,24.53
20.02.2004,23.45,23.9
27.02.2004,23.37,23.36
05.03.2004,23.03,23.54
12.03.2004,22.84,23.64
19.03.2004,22.25,22.89
26.03.2004,21.48,22.57
02.04.2004,21.05,22.55
09.04.2004,21.06,21.79
16.04.2004,21.29,21.74
23.04.2004,21.42,21.32
30.04.2004,21.54,21.64
07.05.2004,21.39,21.87
14.05.2004,21.59,21.48
21.05.2004,21.71,22.26
28.05.2004,21.38,21.8
04.06.2004,21.15,21.58
11.06.2004,21.93,21.8
18.06.2004,21.54,21.87
25.06.2004,21.61,22.04
02.07.2004,21.71,22.03
09.07.2004,21.67,22.65
16.07.2004,21.6,22.32
23.07.2004,21.88,22.45
30.07.2004,21.58,21.68
06.08.2004,21.4,21.72
13.08.2004,21.15,21.71
20.08.2004,20.82,22.24
27.08.2004,21.07,21.79
03.09.2004,20.83,21.87
10.09.2004,20.66,21.87
17.09.2004,20.43,21.34
24.09.2004,20.35,21.46
01.10.2004,20.4,21.14
08.10.2004,20.09,21.8
15.10.2004,20.13,21.81
22.10.2004,20.16,21.57
29.10.2004,20.29,21.24
05.11.2004,20.01,21.4
12.11.2004,21.56,21.64
