Date,AKBNK,ARCLK,BIMAS,DOHOL,EKGYO,ENKAI,EREGL,FROTO,GARAN,ISCTR,KRDMD,KCHOL,KOZAL,MGROS,OTKAR,PGSUS,PETKM,SAHOL,SISE,HALKB,TAVHL,TKFEN,TOASO,TCELL,TUPRS,THYAO,TTKOM,ULKER,VAKBN,YKBNK
2014-12-31,8.66,15.0,50.0,0.76,2.77,5.13,4.46,32.55,9.42,6.74,2.05,12.4,15.6,22.75,86.75,33.15,3.95,10.15,3.45,13.9,19.1,5.79,15.95,14.3,55.3,9.63,7.27,18.55,4.88,4.89
2015-01-02,8.69,15.05,49.95,0.75,2.76,5.11,4.41,32.7,9.41,6.42,2.06,12.2,15.85,22.5,89.5,33.5,3.96,10.1,3.5,13.95,18.85,5.88,16.1,14.1,55.9,9.72,7.2,18.45,5.0,4.9
2015-01-05,8.75,15.1,50.95,0.77,2.82,5.11,4.39,32.6,9.55,6.41,2.04,12.25,16.0,22.6,87.7,34.7,4.0,10.2,3.67,14.1,19.2,5.98,16.25,14.35,56.6,10.2,7.23,19.15,5.05,4.92
2015-01-06,8.8,15.2,51.35,0.76,2.92,5.11,4.38,32.75,9.61,6.44,2.0,12.25,17.05,22.7,97.3,34.55,3.98,10.2,3.62,14.35,19.2,5.98,16.3,14.3,56.7,10.2,7.22,19.05,5.2,4.95
2015-01-07,8.77,15.15,51.05,0.75,2.95,5.08,4.43,31.9,9.64,6.43,2.03,12.3,17.95,22.55,95.0,34.15,4.0,10.25,3.6,14.2,18.8,5.95,15.95,14.3,56.4,10.05,7.12,18.65,5.15,4.97
2015-01-08,8.84,15.35,51.2,0.74,2.99,5.14,4.7,31.85,9.76,6.48,2.11,12.4,17.6,22.75,94.25,34.55,4.07,10.35,3.66,14.4,18.9,5.98,15.95,14.3,56.55,10.1,7.14,18.9,5.19,5.03
2015-01-09,8.94,15.25,51.2,0.74,2.98,5.1,4.72,31.85,9.65,6.54,2.09,12.4,17.45,23.05,102.1,34.25,3.99,10.3,3.68,14.45,18.8,5.87,15.9,14.45,55.3,9.96,7.11,18.75,5.25,5.04
2015-01-12,8.92,15.35,52.05,0.74,2.97,5.09,4.64,31.5,9.58,6.7,2.08,12.4,17.35,22.9,111.5,34.7,3.98,10.25,3.66,14.75,19.25,5.8,16.0,14.35,54.45,9.91,7.09,18.85,5.45,5.07
2015-01-13,9.01,15.1,51.8,0.75,2.99,5.11,4.71,31.5,9.6,6.73,2.07,12.2,16.65,22.7,109.5,34.6,4.05,10.4,3.67,14.85,19.2,5.88,15.85,14.9,53.55,9.87,7.11,18.85,5.65,5.08
2015-01-14,8.85,15.45,50.05,0.75,2.95,5.14,4.72,30.45,9.7,6.68,2.03,11.9,16.35,22.6,104.5,33.7,4.0,10.6,3.63,14.75,18.8,5.86,15.65,14.75,54.6,9.71,7.11,18.45,5.54,4.99
2015-01-15,9.03,15.05,50.0,0.73,3.03,5.08,4.76,30.4,9.85,6.75,2.02,11.8,16.6,22.9,100.5,32.1,3.97,10.5,3.67,14.9,18.5,5.8,15.55,14.95,54.05,9.33,7.29,18.45,5.57,5.02
2015-01-16,9.0,14.8,50.2,0.73,3.14,5.1,4.57,30.45,9.88,6.6,2.03,11.75,16.55,22.65,96.9,31.35,3.95,10.4,3.59,14.8,18.5,5.71,15.75,15.0,55.5,9.3,7.51,18.1,5.58,4.98
2015-01-19,9.0,14.6,50.9,0.73,3.17,5.1,4.63,30.3,10.0,6.73,2.01,11.7,16.75,22.75,97.8,30.9,3.97,10.5,3.58,14.95,18.35,5.85,15.6,15.05,56.9,9.0,7.58,18.3,5.67,5.03
2015-01-20,9.18,14.7,50.7,0.74,3.16,5.06,4.65,30.8,10.4,6.87,2.03,11.9,17.05,22.7,105.0,32.4,3.98,10.55,3.58,15.4,18.55,5.74,15.55,15.1,55.7,9.65,7.49,18.45,5.84,5.09
2015-01-21,9.29,14.85,50.65,0.74,3.17,5.05,4.72,31.85,10.6,7.0,2.09,12.3,17.0,22.5,103.5,31.95,3.98,10.55,3.64,16.25,18.65,5.64,16.0,15.6,55.7,9.45,7.58,18.7,5.81,5.19
2015-01-22,9.5,15.25,49.45,0.75,3.26,5.01,4.77,31.8,10.65,7.06,2.11,12.3,17.25,22.75,100.5,32.15,4.0,10.9,3.71,16.2,18.25,5.72,16.2,15.35,55.8,9.52,7.56,18.85,5.88,5.31
2015-01-23,9.26,15.25,49.75,0.74,3.23,5.07,4.86,32.05,10.6,7.16,2.06,12.7,16.85,23.6,99.0,31.8,3.99,10.85,3.72,16.15,18.5,5.74,17.2,14.8,54.8,9.36,7.7,19.0,5.79,5.26
2015-01-26,9.4,15.35,49.7,0.74,3.28,5.03,4.83,32.25,10.7,7.25,2.06,12.95,18.0,23.75,100.0,31.85,4.0,10.75,3.84,16.45,18.4,5.74,17.45,14.5,54.25,9.71,7.68,19.25,5.9,5.31
2015-01-27,9.4,15.25,50.15,0.74,3.24,5.02,4.81,32.9,10.55,7.16,2.05,13.05,18.0,23.7,101.5,31.85,3.95,10.8,3.76,16.4,18.15,5.85,17.4,14.4,55.0,9.58,7.49,19.75,5.94,5.28
2015-01-28,9.17,15.35,49.15,0.74,3.28,4.88,4.67,34.05,10.4,7.1,2.05,13.1,18.8,23.6,98.5,31.2,3.88,10.7,3.72,16.35,18.2,5.81,17.25,14.25,54.95,9.43,7.53,19.75,5.83,5.21
2015-01-29,8.93,15.2,48.9,0.75,3.19,4.86,4.42,34.05,10.1,6.95,2.0,12.75,18.95,23.4,97.1,30.45,3.79,10.35,3.63,15.65,18.0,5.79,16.95,14.2,54.0,9.49,7.37,19.75,5.67,5.09
2015-01-30,8.96,15.6,49.5,0.74,3.21,4.82,4.4,34.05,10.35,7.13,2.01,12.75,19.35,22.95,95.75,30.45,3.83,10.35,3.63,15.8,18.3,5.75,16.35,14.1,53.15,9.38,7.34,19.4,5.72,5.09
2015-02-02,9.18,15.25,49.3,0.74,3.24,4.96,4.48,33.6,10.35,7.18,2.03,12.65,20.0,23.1,96.25,30.4,3.81,10.5,3.63,16.2,18.5,5.64,16.5,14.3,55.4,9.25,7.37,19.35,5.9,5.23
2015-02-03,8.76,15.15,49.1,0.72,3.19,4.81,4.38,33.5,9.95,6.77,1.99,12.65,18.45,23.0,93.15,29.3,3.91,10.15,3.64,15.5,18.5,5.62,16.55,14.05,55.0,8.89,7.37,19.0,5.64,5.05
2015-02-04,8.44,14.95,48.95,0.71,3.17,4.79,4.4,33.6,9.36,6.56,1.95,12.3,18.2,22.75,95.05,29.25,3.88,10.0,3.65,15.2,18.25,5.69,16.8,14.0,54.9,8.99,7.35,18.9,5.42,4.89
2015-02-05,8.54,14.75,47.85,0.69,3.13,4.63,4.28,33.2,9.57,6.62,1.95,12.2,19.2,22.85,93.2,28.9,3.9,9.9,3.53,15.35,18.25,5.66,16.8,13.95,54.75,9.0,7.2,19.05,5.5,4.8
2015-02-06,8.41,14.6,47.7,0.7,3.15,4.72,4.21,32.6,9.35,6.49,1.9,12.0,19.0,23.0,90.75,27.95,3.91,9.74,3.46,14.9,18.3,5.62,16.7,14.3,55.0,8.76,7.1,19.15,5.4,4.71
2015-02-09,8.35,14.35,48.75,0.69,3.16,4.81,4.3,32.5,9.36,6.47,1.92,11.75,19.4,22.4,88.55,27.45,3.83,9.58,3.42,14.8,18.25,5.5,16.65,14.15,55.0,8.72,6.87,19.0,5.23,4.73
2015-02-10,8.11,14.15,48.2,0.69,3.09,4.75,4.31,31.7,9.09,6.32,1.88,11.45,19.2,21.65,87.7,28.05,3.73,9.38,3.4,14.5,18.15,5.39,16.65,14.05,52.2,8.94,6.9,19.2,5.06,4.6
2015-02-11,8.11,14.2,47.85,0.69,3.06,4.83,4.32,32.0,8.94,6.39,1.87,11.35,19.15,21.7,91.3,27.6,3.76,9.53,3.46,14.55,19.0,5.37,16.2,14.75,52.1,8.98,6.94,19.0,5.14,4.61
2015-02-12,8.55,14.9,48.85,0.7,3.18,5.03,4.33,33.45,9.34,6.67,1.85,11.75,19.5,22.35,93.95,28.05,3.84,9.94,3.5,15.2,18.7,5.53,16.65,14.8,53.6,9.28,7.25,19.55,5.34,4.72
2015-02-13,8.52,14.75,50.25,0.69,3.18,4.97,4.28,32.7,9.26,6.58,1.85,12.05,20.7,22.3,93.0,27.45,3.79,9.9,3.49,15.35,18.9,5.58,16.95,14.15,53.25,9.1,7.24,19.4,5.35,4.76
2015-02-16,8.57,14.9,49.7,0.69,3.22,4.97,4.27,33.0,9.37,6.69,1.84,12.05,19.9,22.5,93.1,28.2,3.78,9.85,3.53,15.35,18.6,5.65,16.75,13.7,53.45,9.3,7.17,19.55,5.42,4.83
2015-02-17,8.39,14.6,48.35,0.68,3.17,4.89,4.27,32.25,9.13,6.45,1.84,11.7,19.95,22.1,91.15,28.45,3.73,9.72,3.46,14.8,18.6,5.54,16.2,13.7,52.4,9.27,7.14,19.4,5.23,4.67
