date,XU100
03.01.2005,25445.15
04.01.2005,25042
05.01.2005,24422.94
06.01.2005,24561.85
07.01.2005,25308.25
10.01.2005,25604.65
11.01.2005,26110.17
12.01.2005,26271.34
13.01.2005,26493.02
14.01.2005,26362.68
17.01.2005,26863.2
18.01.2005,26813.13
19.01.2005,26918.1
20.01.2005,0
21.01.2005,0
24.01.2005,26469.43
25.01.2005,26859.99
26.01.2005,27056.02
27.01.2005,27302.74
28.01.2005,27074.09
31.01.2005,27330.35
01.02.2005,27849.79
02.02.2005,27936.53
03.02.2005,27554.79
04.02.2005,27813.16
07.02.2005,28201.72
08.02.2005,28269.69
09.02.2005,27528.07
10.02.2005,27308.78
11.02.2005,27736.29
14.02.2005,28003.6
15.02.2005,28164.08
16.02.2005,27661.58
17.02.2005,27000.44
18.02.2005,27293.22
21.02.2005,26864.27
22.02.2005,26657.4
23.02.2005,26921.27
24.02.2005,27354.57
25.02.2005,28031.45
28.02.2005,28396.17
01.03.2005,27768.46
02.03.2005,27226.38
03.03.2005,27558.88
04.03.2005,27663.22
07.03.2005,27789.92
08.03.2005,27698.34
09.03.2005,27746.37
10.03.2005,27519.81
11.03.2005,27572.79
14.03.2005,26936.75
15.03.2005,26547.17
16.03.2005,25331.7
17.03.2005,24475.97
18.03.2005,25348.51
21.03.2005,24636.68
22.03.2005,25218.21
23.03.2005,24439.26
24.03.2005,25068.49
25.03.2005,25502.6
28.03.2005,24842.21
29.03.2005,24479.67
30.03.2005,24600.92
31.03.2005,25557.76
01.04.2005,25740.76
04.04.2005,25445.11
05.04.2005,25682.54
06.04.2005,26056.61
07.04.2005,25831.22
08.04.2005,25786.45
11.04.2005,25370.26
12.04.2005,25077.96
13.04.2005,25293.24
14.04.2005,24541.95
15.04.2005,23853.34
18.04.2005,23285.94
19.04.2005,24143.88
20.04.2005,24175.89
21.04.2005,24419.37
22.04.2005,24730.75
25.04.2005,24798.07
26.04.2005,24483.97
27.04.2005,24070.13
28.04.2005,23519.63
29.04.2005,23591.64
02.05.2005,24252.96
03.05.2005,24137.94
04.05.2005,24560.22
05.05.2005,25099.87
06.05.2005,24950.82
09.05.2005,24702.24
10.05.2005,24688.26
11.05.2005,24662.88
12.05.2005,25114.43
13.05.2005,25325.67
16.05.2005,24921.28
17.05.2005,24846.11
18.05.2005,25205.51
19.05.2005,0
20.05.2005,25464.89
23.05.2005,24329.06
24.05.2005,24140.93
25.05.2005,24119.79
26.05.2005,24054.09
27.05.2005,24453.14
30.05.2005,24977.78
31.05.2005,25236.48
01.06.2005,25230.81
02.06.2005,25799.12
03.06.2005,26051.55
06.06.2005,25533.07
07.06.2005,25478.03
08.06.2005,25779.75
09.06.2005,25499.99
10.06.2005,25725.19
13.06.2005,25609.99
14.06.2005,25929.93
15.06.2005,26209.42
16.06.2005,26579.72
17.06.2005,26529.32
20.06.2005,26709.17
21.06.2005,26746.4
22.06.2005,26779.27
23.06.2005,27021.54
24.06.2005,27033.4
27.06.2005,26597.8
28.06.2005,26811.4
29.06.2005,27135.9
30.06.2005,26957.32
01.07.2005,27616.86
04.07.2005,27702.25
05.07.2005,27377.55
06.07.2005,27781.35
07.07.2005,27689.5
08.07.2005,27842.43
11.07.2005,27808.07
12.07.2005,27689.24
13.07.2005,28061.92
14.07.2005,28500.87
15.07.2005,28427.27
18.07.2005,28402.65
19.07.2005,28675.4
20.07.2005,28713.45
21.07.2005,28992.13
22.07.2005,29188.09
25.07.2005,29273.25
26.07.2005,28730.69
27.07.2005,29164.82
28.07.2005,29343.03
29.07.2005,29615.29
01.08.2005,29776.69
02.08.2005,29543.48
03.08.2005,29727.05
04.08.2005,30123.59
05.08.2005,29945.44
08.08.2005,29924.83
09.08.2005,29701
10.08.2005,29683.21
11.08.2005,29111.84
12.08.2005,28175.93
15.08.2005,28074.94
16.08.2005,28257.65
17.08.2005,27906.28
18.08.2005,28000
19.08.2005,28456.86
22.08.2005,28951.44
23.08.2005,29191.6
24.08.2005,29372.23
25.08.2005,29814.17
26.08.2005,30020.4
29.08.2005,30015.12
30.08.2005,0
31.08.2005,30908.02
01.09.2005,31947.95
02.09.2005,31701.62
05.09.2005,31879.45
06.09.2005,31832.5
07.09.2005,31385.01
08.09.2005,31485.39
09.09.2005,32202.66
12.09.2005,32711.13
13.09.2005,32541.11
14.09.2005,32632.44
15.09.2005,33271.11
16.09.2005,33294.26
19.09.2005,33221.15
20.09.2005,33719.3
21.09.2005,33863.82
22.09.2005,33465.61
23.09.2005,33250.45
26.09.2005,33516.04
27.09.2005,33319.18
28.09.2005,32744.95
29.09.2005,33396.23
30.09.2005,33333.23
03.10.2005,34300.9
04.10.2005,35624.79
05.10.2005,34775.67
06.10.2005,33510.39
07.10.2005,33413.61
10.10.2005,33505.96
11.10.2005,34040.21
12.10.2005,33118.44
13.10.2005,32054.34
14.10.2005,31440.03
17.10.2005,31850.68
18.10.2005,31586.83
19.10.2005,30766.71
20.10.2005,31403.9
21.10.2005,31428.62
24.10.2005,31845.7
25.10.2005,31669.96
26.10.2005,31474.44
27.10.2005,31273.31
28.10.2005,31038.52
31.10.2005,31963.99
01.11.2005,32791.99
02.11.2005,33152.1
03.11.2005,0
04.11.2005,0
07.11.2005,33830.1
08.11.2005,33749.43
09.11.2005,33848.29
10.11.2005,34709.65
11.11.2005,34096.32
14.11.2005,34171.51
15.11.2005,34324.04
16.11.2005,34866.57
17.11.2005,35127.34
18.11.2005,35314.31
21.11.2005,35654.99
22.11.2005,35254.14
23.11.2005,36179.29
24.11.2005,36907.79
25.11.2005,36759.89
28.11.2005,36621.47
29.11.2005,37495.22
30.11.2005,38088.65
01.12.2005,38296.91
02.12.2005,38573.71
05.12.2005,39130.73
06.12.2005,38917.82
07.12.2005,38441.59
08.12.2005,38587.77
09.12.2005,37496.18
12.12.2005,38202.19
13.12.2005,37741.7
14.12.2005,37870.57
15.12.2005,37631.57
16.12.2005,37716.7
19.12.2005,37960.13
20.12.2005,37729.42
21.12.2005,38210.24
22.12.2005,38353.12
23.12.2005,38919.51
26.12.2005,39139.08
27.12.2005,39015.86
28.12.2005,39220.17
29.12.2005,39837.27
30.12.2005,39777.7
02.01.2006,39790.72
03.01.2006,40665.44
04.01.2006,41362.47
05.01.2006,41722.4
06.01.2006,41905.41
09.01.2006,0
10.01.2006,0
11.01.2006,0
12.01.2006,0
13.01.2006,0
16.01.2006,43628.83
17.01.2006,44076.91
18.01.2006,42622.9
19.01.2006,43645.23
20.01.2006,44465.68
23.01.2006,43851.42
24.01.2006,44434.54
25.01.2006,45746.17
26.01.2006,45784.09
27.01.2006,45315.15
30.01.2006,44891.25
31.01.2006,44590.22
01.02.2006,45250.66
02.02.2006,44841.03
03.02.2006,44228.02
06.02.2006,44855.61
07.02.2006,44652.96
